account_id,customer_id,account_type,balance,status_type
4,40869,Checking/Current Account,41.0,Active
8,19544,Custodial Account,224.0,Active
9,4046,Custodial Account,94301397.0,Blocked/Frozen
10,13180,Trust Account,13123372.0,Blocked/Frozen
15,12536,Individual Retirement Account (IRA),515.0,Closed
16,18612,Savings Account,1.0,Defaulted
17,3840,Certificate of Deposit (CD),297508669.0,Closed
20,30073,Individual Retirement Account (IRA),473.0,Blocked/Frozen
26,9988,Custodial Account,23.0,Limited/Restricted
28,41891,Trust Account,89.0,Limited/Restricted
29,29693,Individual Retirement Account (IRA),3.0,Limited/Restricted
31,19053,Certificate of Deposit (CD),36033.0,Blocked/Frozen
33,31113,Savings Account,7783340.0,Inactive/Dormant
37,59059,Savings Account,542774129.0,Active
42,44909,Individual Retirement Account (IRA),42958687.0,Blocked/Frozen
46,15373,Business Account,307.0,Blocked/Frozen
52,4584,Checking/Current Account,620644854.0,Limited/Restricted
54,10912,Individual Retirement Account (IRA),1078234.0,Inactive/Dormant
55,33553,Certificate of Deposit (CD),556.0,Defaulted
58,63882,Trust Account,1.0,Limited/Restricted
59,60761,Savings Account,207.0,Active
60,23256,Savings Account,391793135.0,Inactive/Dormant
62,12994,Trust Account,3947.0,Defaulted
65,64993,Business Account,95.0,Closed
69,7675,Certificate of Deposit (CD),942380.0,Closed
73,14461,Custodial Account,4804693.0,Limited/Restricted
75,11484,Checking/Current Account,92.0,Limited/Restricted
79,25930,Trust Account,967402.0,Active
84,7187,Individual Retirement Account (IRA),134335035.0,Defaulted
90,25649,Checking/Current Account,786257.0,Closed
92,52546,Trust Account,352.0,Closed
96,14813,Savings Account,5.0,Inactive/Dormant
99,42281,Business Account,4246977.0,Inactive/Dormant
102,1367,Certificate of Deposit (CD),339.0,Inactive/Dormant
112,9003,Savings Account,905301.0,Inactive/Dormant
123,16109,Checking/Current Account,4.0,Active
124,53605,Savings Account,652781.0,Defaulted
126,43294,Business Account,8415.0,Limited/Restricted
130,22115,Certificate of Deposit (CD),8552.0,Defaulted
136,19171,Savings Account,9178540.0,Closed
137,50914,Custodial Account,649467709.0,Limited/Restricted
139,908,Business Account,4468.0,Limited/Restricted
141,24249,Custodial Account,18761996.0,Blocked/Frozen
143,35763,Certificate of Deposit (CD),558383313.0,Defaulted
147,51720,Trust Account,82055205.0,Closed
149,55108,Business Account,43.0,Inactive/Dormant
150,28709,Checking/Current Account,1449.0,Inactive/Dormant
152,39932,Checking/Current Account,497804878.0,Blocked/Frozen
154,35434,Business Account,121509.0,Defaulted
156,26647,Trust Account,307.0,Limited/Restricted
165,897,Trust Account,704.0,Closed
166,26253,Individual Retirement Account (IRA),3.0,Closed
168,12959,Custodial Account,12964.0,Blocked/Frozen
176,53188,Individual Retirement Account (IRA),63057.0,Active
188,40926,Checking/Current Account,349.0,Defaulted
195,4822,Individual Retirement Account (IRA),68109802.0,Blocked/Frozen
203,48461,Trust Account,728.0,Inactive/Dormant
213,60224,Custodial Account,387106.0,Blocked/Frozen
216,29990,Trust Account,224979181.0,Blocked/Frozen
220,28666,Individual Retirement Account (IRA),267725911.0,Closed
221,29035,Checking/Current Account,6105.0,Closed
223,58584,Custodial Account,146.0,Blocked/Frozen
224,20548,Savings Account,644875.0,Closed
225,21426,Custodial Account,65.0,Limited/Restricted
230,50278,Custodial Account,3142123.0,Defaulted
244,37142,Custodial Account,96633219.0,Closed
246,64701,Certificate of Deposit (CD),419983442.0,Limited/Restricted
247,53098,Business Account,4042.0,Closed
254,31623,Trust Account,960326946.0,Active
255,18833,Business Account,310177159.0,Blocked/Frozen
256,4756,Individual Retirement Account (IRA),154097.0,Limited/Restricted
267,50893,Certificate of Deposit (CD),79260.0,Limited/Restricted
269,33883,Savings Account,4962037.0,Active
272,2164,Savings Account,6722.0,Closed
276,38333,Savings Account,711.0,Limited/Restricted
281,29441,Trust Account,57.0,Blocked/Frozen
292,24195,Custodial Account,6113.0,Blocked/Frozen
299,3617,Individual Retirement Account (IRA),47.0,Blocked/Frozen
300,1558,Business Account,528911.0,Blocked/Frozen
307,3112,Checking/Current Account,4524357.0,Blocked/Frozen
308,55684,Savings Account,590059.0,Inactive/Dormant
309,46899,Business Account,9127982.0,Limited/Restricted
316,52344,Checking/Current Account,81233869.0,Inactive/Dormant
324,10196,Certificate of Deposit (CD),690338523.0,Limited/Restricted
333,20151,Trust Account,35384197.0,Limited/Restricted
338,32233,Custodial Account,93954.0,Limited/Restricted
339,14193,Business Account,139474004.0,Inactive/Dormant
340,32178,Individual Retirement Account (IRA),2.0,Inactive/Dormant
345,33274,Individual Retirement Account (IRA),8972574.0,Blocked/Frozen
347,55186,Business Account,48858191.0,Inactive/Dormant
352,10251,Trust Account,3957.0,Inactive/Dormant
355,14488,Savings Account,7373275.0,Limited/Restricted
357,48571,Trust Account,3113651.0,Limited/Restricted
363,37482,Individual Retirement Account (IRA),32628.0,Inactive/Dormant
368,52982,Trust Account,4.0,Inactive/Dormant
370,259,Custodial Account,2455.0,Inactive/Dormant
374,32528,Business Account,63560.0,Limited/Restricted
382,1756,Individual Retirement Account (IRA),394612571.0,Blocked/Frozen
388,37841,Individual Retirement Account (IRA),256165.0,Blocked/Frozen
389,48551,Individual Retirement Account (IRA),2.0,Active
393,45259,Trust Account,886710.0,Closed
395,50021,Business Account,14887.0,Limited/Restricted
406,54957,Individual Retirement Account (IRA),25860753.0,Active
408,35073,Business Account,5.0,Limited/Restricted
410,60130,Checking/Current Account,20076.0,Blocked/Frozen
414,38610,Business Account,85309.0,Active
415,9383,Savings Account,4222236.0,Closed
416,57707,Business Account,92757253.0,Limited/Restricted
424,41901,Trust Account,3973.0,Blocked/Frozen
429,4481,Certificate of Deposit (CD),795140.0,Blocked/Frozen
431,22069,Trust Account,493132235.0,Blocked/Frozen
432,53141,Trust Account,2757049.0,Limited/Restricted
434,1766,Trust Account,9640.0,Limited/Restricted
436,32161,Business Account,87.0,Limited/Restricted
438,31319,Savings Account,19101.0,Limited/Restricted
443,64154,Business Account,1012.0,Inactive/Dormant
447,55962,Individual Retirement Account (IRA),7218708.0,Limited/Restricted
449,49897,Trust Account,764318.0,Blocked/Frozen
