log_id,customer_id,communication_type,timestamp
1,30218,Postal Mail,0 days 14:12:42
4,23330,Online Chat,0 days 04:46:30
5,59766,In-person,0 days 13:25:38
7,58848,Email,0 days 16:50:27
10,18570,In-person,0 days 14:34:32
11,24460,Postal Mail,0 days 01:31:21
17,54323,Mobile App,0 days 13:24:09
21,1740,In-person,0 days 23:58:56
22,37393,Mobile App,0 days 15:52:44
24,27668,Online Chat,0 days 09:30:08
26,42268,Email,0 days 19:42:59
27,30704,Email,0 days 23:35:58
30,16571,Phone,0 days 10:39:09
32,64031,Online Chat,0 days 05:23:51
41,27397,In-person,0 days 02:26:44
46,30936,Email,0 days 12:20:06
50,21073,Mobile App,0 days 17:08:28
54,55537,Postal Mail,0 days 04:43:14
58,57017,Mobile App,0 days 21:43:05
60,56105,Phone,0 days 18:46:04
62,26829,In-person,0 days 21:06:46
64,15021,Online Chat,0 days 09:16:19
67,10722,In-person,0 days 23:04:59
69,23139,Online Chat,0 days 05:27:35
74,35747,Phone,0 days 05:14:28
77,5102,Postal Mail,0 days 09:47:42
78,8260,Email,0 days 08:30:29
84,58549,Phone,0 days 23:14:33
85,51928,Phone,0 days 20:31:25
87,7559,Email,0 days 01:00:56
92,48833,Email,0 days 13:48:59
93,29514,Online Chat,0 days 00:22:04
96,23935,Phone,0 days 18:40:17
100,28009,Mobile App,0 days 18:11:21
101,62159,Email,0 days 18:00:40
104,20644,Email,0 days 03:32:38
109,59584,In-person,0 days 20:05:30
111,31082,In-person,0 days 05:21:21
115,54609,Mobile App,0 days 04:11:53
120,63200,Postal Mail,0 days 11:10:44
122,5453,Postal Mail,0 days 13:57:43
124,8244,Email,0 days 00:03:46
125,18977,Email,0 days 11:58:37
130,52755,Postal Mail,0 days 23:54:33
132,54956,Postal Mail,0 days 21:55:31
133,14956,Mobile App,0 days 18:04:30
139,57027,Email,0 days 17:22:10
143,2896,Phone,0 days 18:03:27
146,15483,Email,0 days 11:30:27
147,32069,Phone,0 days 00:42:27
149,22660,Email,0 days 15:51:28
150,53913,Phone,0 days 10:01:29
155,48582,Postal Mail,0 days 16:00:20
156,43326,In-person,0 days 04:04:02
157,26558,Online Chat,0 days 14:02:48
158,41295,Online Chat,0 days 04:31:08
160,2503,Online Chat,0 days 05:30:07
168,11033,Email,0 days 10:55:35
172,6797,In-person,0 days 17:58:39
174,37647,Mobile App,0 days 02:04:48
183,167,Postal Mail,0 days 02:42:48
184,27892,Postal Mail,0 days 05:28:15
186,63763,In-person,0 days 12:57:27
187,20148,Online Chat,0 days 07:21:26
188,23668,Mobile App,0 days 05:25:29
