credit_id,customer_id,credit_score,credit_limit
3,52928,300 - 579,5.0
6,14670,670 - 739,499999.0
13,9395,300 - 579,74439.0
17,4433,670 - 739,287.0
19,781,800 - 850,41040.0
21,9652,800 - 850,5.0
22,34643,670 - 739,3.0
24,4686,300 - 579,452203.0
31,4206,800 - 850,2.0
37,11003,670 - 739,3020582.0
45,56817,580 - 669,9.0
48,12279,300 - 579,1667.0
49,8291,740 - 799,9.0
54,22471,300 - 579,149.0
61,26374,740 - 799,5740.0
64,34927,670 - 739,26273390.0
72,38802,580 - 669,248.0
78,36142,800 - 850,81121590.0
79,64056,800 - 850,144293.0
82,65524,670 - 739,27424347.0
93,15424,670 - 739,26239.0
94,33951,740 - 799,128829965.0
99,14818,300 - 579,371140.0
100,55207,300 - 579,84156323.0
108,39212,800 - 850,32350.0
113,1272,740 - 799,166430293.0
115,3270,670 - 739,178859.0
119,44677,740 - 799,1876.0
120,15894,800 - 850,5.0
122,21215,800 - 850,12295.0
123,22409,300 - 579,52.0
125,40238,300 - 579,6.0
127,44208,670 - 739,728446.0
129,15825,300 - 579,40230.0
132,19978,300 - 579,70641.0
139,4646,580 - 669,94266.0
140,5870,300 - 579,212940732.0
143,59057,740 - 799,399029117.0
145,33258,300 - 579,7066446.0
151,14718,800 - 850,191.0
159,62463,800 - 850,2.0
162,29781,300 - 579,157502769.0
163,27929,300 - 579,9.0
164,35799,740 - 799,9.0
167,43410,300 - 579,3379.0
168,966,580 - 669,162816063.0
170,58842,300 - 579,94.0
172,3183,670 - 739,88.0
176,45018,580 - 669,99029754.0
177,10378,300 - 579,1.0
183,64761,740 - 799,0.0
188,43410,670 - 739,97815792.0
195,43271,300 - 579,115350.0
197,36875,740 - 799,569.0
201,50962,580 - 669,646618237.0
213,10057,300 - 579,15.0
216,38069,800 - 850,2024.0
219,45895,300 - 579,93052379.0
220,35486,800 - 850,3674.0
222,23233,580 - 669,8406.0
223,45869,800 - 850,83856602.0
231,14956,800 - 850,74.0
232,35995,580 - 669,385208.0
234,29477,580 - 669,9787.0
236,39979,800 - 850,647143.0
239,13118,670 - 739,372.0
240,30996,300 - 579,179382417.0
242,44928,670 - 739,65046.0
245,24998,670 - 739,483756381.0
257,21371,300 - 579,977457347.0
266,21723,740 - 799,1.0
269,58497,300 - 579,5418.0
271,65309,800 - 850,60752930.0
272,42410,740 - 799,192.0
274,40377,800 - 850,753205.0
277,14686,300 - 579,885.0
278,58752,300 - 579,76552.0
282,31179,670 - 739,3.0
283,5097,800 - 850,5834791.0
301,22077,580 - 669,8726407.0
308,64746,300 - 579,2080432.0
312,53288,300 - 579,64564930.0
316,41031,800 - 850,596990223.0
317,28460,670 - 739,1916982.0
324,10629,740 - 799,488490037.0
325,43151,740 - 799,962.0
328,32147,670 - 739,690660.0
329,44274,740 - 799,42715176.0
334,35674,670 - 739,25.0
337,32226,670 - 739,7273091.0
342,37670,800 - 850,181.0
343,23300,800 - 850,295.0
346,60574,300 - 579,205233762.0
347,7020,300 - 579,482292564.0
349,41194,300 - 579,8148.0
350,46061,740 - 799,37.0
356,42101,300 - 579,215190687.0
364,34099,300 - 579,1533884.0
375,7411,300 - 579,5.0
376,39394,800 - 850,6.0
378,35857,580 - 669,173181.0
379,591,300 - 579,38.0
386,27478,670 - 739,549790653.0
391,51995,300 - 579,6028061.0
393,30581,580 - 669,9792168.0
403,45351,740 - 799,5259913.0
416,49768,580 - 669,8897293.0
417,15350,670 - 739,6162736.0
424,5198,300 - 579,7.0
426,2188,800 - 850,26.0
427,56288,740 - 799,7.0
430,29900,580 - 669,61640284.0
434,65050,800 - 850,83431064.0
437,35559,300 - 579,0.0
440,34314,580 - 669,41.0
443,63878,300 - 579,6919830.0
456,49321,800 - 850,1.0
458,41491,580 - 669,820.0
464,36598,800 - 850,4.0
478,53460,670 - 739,935798.0
482,51869,580 - 669,55686128.0
488,48585,670 - 739,614837855.0
489,48554,740 - 799,813.0
499,26542,670 - 739,84800877.0
502,59888,740 - 799,685884923.0
505,37369,800 - 850,118789654.0
509,12022,580 - 669,654607378.0
510,7243,740 - 799,269.0
511,17409,800 - 850,488858.0
513,6041,300 - 579,46952527.0
516,20878,300 - 579,2.0
520,9253,670 - 739,7814.0
521,63211,800 - 850,9230897.0
524,21528,670 - 739,18532996.0
525,50404,670 - 739,403.0
529,33432,580 - 669,35.0
532,7902,800 - 850,3.0
540,11706,670 - 739,45.0
545,20897,580 - 669,96328422.0
548,57827,580 - 669,6459022.0
552,12495,300 - 579,61397.0
555,14869,670 - 739,1696392.0
556,39340,580 - 669,68672.0
560,22278,300 - 579,9561.0
562,44516,300 - 579,731.0
564,21185,300 - 579,2974208.0
565,44978,670 - 739,9.0
568,59288,800 - 850,56869.0
573,46614,670 - 739,20.0
581,59101,800 - 850,17.0
588,14804,740 - 799,7464.0
595,39000,300 - 579,2686599.0
599,63301,670 - 739,7562579.0
603,29733,580 - 669,75134000.0
604,59279,740 - 799,22351177.0
607,28090,670 - 739,7.0
613,40604,800 - 850,195047726.0
615,26380,740 - 799,127916.0
616,46702,800 - 850,62915368.0
628,26554,800 - 850,8336429.0
635,852,580 - 669,620922840.0
637,21396,740 - 799,7.0
640,64541,670 - 739,2985.0
643,21560,670 - 739,6956.0
647,53954,580 - 669,0.0
648,5413,300 - 579,8.0
652,29268,670 - 739,539.0
655,32584,740 - 799,2745.0
660,12366,740 - 799,51.0
661,12946,740 - 799,2130965.0
667,37839,740 - 799,9244349.0
669,41122,300 - 579,61911082.0
670,31202,740 - 799,1354.0
679,8898,740 - 799,6531916.0
