payment_id,account_id,recipient,amount,payment_date,payment_method
0,58728,Manning-Pitts,35.0,1987-10-26,Check
1,15404,Erickson-Wilkinson,4781287.0,1989-12-13,Mobile Payment
5,59540,Juarez-Miller,90.0,2006-01-11,Debit Card
24,63507,Martin-Olsen,7239429.0,1999-07-25,Mobile Payment
26,17430,Colon-Berry,399.0,1970-06-02,Prepaid Card
30,56758,"Soto, Carr and Cox",69807749.0,1998-04-21,E-wallet
31,19521,"Perez, Torres and Collier",94905.0,1974-09-04,Prepaid Card
35,56853,Zimmerman-Jones,215074374.0,1978-11-19,Bank Transfer
45,30021,Huffman-Clark,12061.0,1993-11-17,Check
46,6803,Gordon-Soto,75999244.0,2014-11-06,Prepaid Card
48,32270,"Scott, Fields and Norman",358.0,2010-10-23,Debit Card
49,39232,Carlson-Garcia,822088553.0,2003-09-19,Bank Transfer
50,29659,Ballard-Medina,6081970.0,1993-10-24,E-wallet
59,20844,Cruz-Martin,32321473.0,2006-04-24,Contactless Card
62,63088,Mendoza-Spencer,6306.0,1977-02-11,Bank Transfer
65,20143,Hale Group,26.0,1998-11-02,Bank Transfer
68,14719,"Castillo, Stewart and Schneider",6949782.0,2015-07-10,Bank Transfer
71,21961,Rocha Group,967.0,2019-01-19,Debit Card
73,7656,"Johnson, Pena and Jennings",1104.0,2019-05-10,Contactless Card
77,37340,Stevens-Adkins,9705623.0,2006-10-30,Bank Transfer
78,8944,"Houston, Johnson and Silva",8181.0,2013-10-08,Cash
79,42434,Ellis PLC,475065.0,2019-09-21,Debit Card
80,32350,Anderson and Sons,128.0,2012-08-16,Credit Card
88,63485,Gray-Walker,71253.0,1999-11-25,E-wallet
89,51258,"Quinn, Escobar and Evans",72.0,1982-02-06,Prepaid Card
91,30665,Brown and Sons,40395.0,2011-04-15,Mobile Payment
92,14681,Lee Group,41780.0,2017-01-18,Credit Card
93,52604,Anderson PLC,17.0,1979-04-18,Bank Transfer
96,26460,"Vargas, Waters and Jacobs",2154.0,1974-12-30,Bank Transfer
97,41094,Hughes Group,7509.0,2004-08-13,Contactless Card
98,17711,Turner-James,7816.0,1987-12-13,Mobile Payment
101,31788,"Murillo, Stewart and Carlson",5.0,2021-02-27,Check
108,2040,Phillips and Sons,826.0,1990-08-26,Cryptocurrency
109,38479,Tate Group,39140953.0,1971-11-27,Prepaid Card
119,3403,Cruz-Ramirez,93.0,2003-11-25,Cash
121,1132,Sosa and Sons,275062667.0,1991-07-18,Bank Transfer
125,13891,"Fleming, Green and Gardner",958491800.0,1987-01-04,Prepaid Card
