transaction_id,account_id,transaction_type,amount,transaction_date
0,6719,Online,57587279.0,1990-06-24
1,34581,Payment ,4719462.0,1998-09-10
2,28576,Purchase,992863.0,2006-07-22
9,4608,Investment,64.0,2020-01-27
17,46804,Investment,8.0,1997-10-30
18,30220,Credit,2.0,2019-04-06
19,23415,Financial,2.0,2012-01-22
30,60713,Investment,77011.0,1990-11-05
31,16414,Purchase,926876.0,1985-11-19
33,27054,Wire,3665849.0,2010-09-30
52,56441,Purchase,198.0,1972-10-03
55,57115,Online,8029.0,1982-03-06
57,39046,Purchase,628277.0,1974-10-28
58,59888,Online,22658.0,2001-01-11
59,19135,Investment,100.0,1970-05-30
64,13636,Subscription,391576.0,2013-03-01
80,28635,Credit,8259951.0,2004-06-26
87,55372,Payment ,14683295.0,2003-11-30
89,39450,Purchase,5310763.0,1977-10-09
90,20506,Purchase,28.0,1977-07-10
107,18749,Online,511.0,1980-11-11
109,57895,Payment ,733.0,1988-01-04
110,30176,Online,929.0,1981-01-15
111,40824,Investment,5291057.0,2019-03-03
141,63657,Purchase,72382277.0,2010-04-02
143,30165,Wire,7163851.0,1984-12-18
155,10064,Subscription,2038.0,1971-05-21
157,48407,Purchase,334299.0,2020-02-03
164,1384,Purchase,4.0,1983-12-15
173,54387,Online,6626.0,1982-09-26
179,20394,Investment,3.0,1993-03-05
193,6698,Payment ,968.0,2003-08-18
197,43918,Purchase,4787.0,2011-10-16
198,52950,Online,973613.0,2023-03-08
202,7029,Financial,5159724.0,1999-05-06
204,55658,Payment ,6.0,1986-09-05
205,3584,Wire,315810449.0,1973-11-16
217,18945,Wire,28586703.0,1997-02-27
239,54679,Purchase,13914.0,1990-10-30
242,16655,Investment,8514.0,2019-11-24
250,41581,Subscription,269.0,2013-03-07
257,4572,Investment,65702614.0,1973-11-29
279,15884,Payment ,565811392.0,1995-05-04
289,1487,Payment ,2600090.0,1975-10-03
292,50703,Online,8126187.0,1970-10-13
293,25197,Wire,2394.0,2006-02-13
295,58985,Purchase,461608355.0,2021-11-20
304,30723,Online,1056.0,1975-11-02
307,62598,Financial,53.0,2009-12-07
312,26573,Financial,7.0,1998-03-01
328,47108,Online,758903671.0,2019-01-26
329,13578,Online,511343822.0,2000-07-27
333,49348,Credit,6318083.0,1997-01-09
335,22588,Credit,7999708.0,1971-03-25
360,51999,Payment ,61875855.0,2010-12-18
365,43137,Investment,84.0,2003-03-20
378,20547,Online,7245.0,1983-02-05
388,6346,Subscription,303362447.0,1976-10-15
392,29734,Purchase,4.0,1981-10-13
400,15446,Purchase,35260521.0,2010-05-08
403,47024,Financial,373.0,2003-10-29
406,51738,Purchase,798156911.0,2000-01-13
409,14486,Purchase,91815743.0,2018-10-24
415,4878,Online,10.0,1979-10-27
433,59182,Payment ,649856133.0,2022-06-14
434,27957,Wire,12426.0,1977-04-14
449,60709,Purchase,85994.0,2008-11-27
454,64671,Payment ,2.0,1976-07-22
455,31835,Payment ,568.0,2004-05-25
463,47126,Credit,561212.0,1997-06-06
465,1353,Wire,6082528.0,2014-07-15
469,63639,Payment ,203514037.0,1999-04-13
474,25333,Online,50.0,2012-08-28
478,40161,Purchase,160635.0,2018-08-23
480,51126,Payment ,41606.0,1974-11-25
485,53069,Investment,32.0,2010-11-23
488,23352,Investment,75.0,2019-10-27
495,2965,Wire,48975827.0,2020-06-13
504,40797,Credit,21.0,1977-11-21
505,5186,Payment ,415966829.0,2017-06-15
507,36621,Wire,8.0,2001-12-26
527,54284,Financial,82785.0,1970-07-12
528,15173,Payment ,47.0,1997-07-11
